Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
178 1.5203 1.2257 0.7751 0.0467 0.7284 0.0072 0.0447 0.0375 0.5389 0.6673 0.1284
179 1.5598 1.2177 0.7764 0.0573 0.7191 0.0142 0.0094 0.0049 0.5401 0.6677 0.1276
180 1.5466 1.2204 0.7736 0.0564 0.7172 0.0107 0.0036 0.0072 0.5400 0.6700 0.1300
181 1.5313 1.2349 0.7850 0.0472 0.7378 0.0058 0.0139 0.0081 0.5429 0.6700 0.1271
182 1.5336 1.2354 0.7888 0.0328 0.7561 0.0135 0.0016 0.0119 0.5415 0.6700 0.1285
183 1.5589 1.2308 0.7980 0.0412 0.7568 0.0075 0.0015 0.0060 0.5528 0.6890 0.1362
184 1.5469 1.2194 0.7871 0.0492 0.7378 0.0074 0.0068 0.0007 0.5419 0.8601 0.3182
185 1.5430 1.2094 0.7955 0.0627 0.7329 0.0086 0.0059 0.0027 0.5586 0.6803 0.1217
186 1.5687 1.2244 0.7952 0.0572 0.7379 0.0099 0.0183 0.0084 0.5425 0.7505 0.2080
187 1.5297 1.2335 0.8040 0.0386 0.7654 0.0084 0.0032 0.0052 0.5435 0.6730 0.1294
188 1.5406 1.2281 0.7965 0.0339 0.7625 0.0067 0.0173 0.0106 0.5416 0.5975 0.0559
189 1.5822 1.2424 0.8051 0.0360 0.7692 0.0081 0.0154 0.0073 0.5419 0.6864 0.1445
190 1.5812 1.2320 0.7985 0.0357 0.7628 0.0063 0.0153 0.0091 0.5589 0.3448 0.2140
191 1.5863 1.2085 0.7824 0.0568 0.7256 0.0048 0.0207 0.0160 0.5619 0.8496 0.2877
192 1.5791 1.1887 0.7762 0.0760 0.7002 0.0030 0.0049 0.0019 0.5583 0.6938 0.1355
193 1.5842 1.2149 0.7902 0.0549 0.7353 0.0078 0.0054 0.0024 0.5579 0.6857 0.1278
194 1.6434 1.2094 0.7971 0.0597 0.7374 0.0011 0.0074 0.0063 0.5911 0.6722 0.0810
195 1.6174 1.2259 0.7953 0.0319 0.7634 0.0039 0.0037 0.0002 0.5824 0.6727 0.0903
196 1.6107 1.2224 0.7875 0.0136 0.7739 0.0021 0.0073 0.0053 0.5761 0.5778 0.0017
197 1.6536 1.2319 0.7926 0.0258 0.7668 0.0087 0.0022 0.0065 0.5779 0.6732 0.0953
198 1.6100 1.2278 0.7841 0.0309 0.7532 0.0024 0.0105 0.0082 0.5773 0.6875 0.1102
199 1.5695 1.2175 0.7821 0.0342 0.7479 0.0075 0.0034 0.0040 0.5794 0.6738 0.0944
200 1.6125 1.2106 0.7909 0.0514 0.7395 0.0082 0.0021 0.0061 0.5794 0.6736 0.0943
